Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-14 - CGY 3, WPG 4",CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - VAN 0, CGY 3",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - VAN 2, CGY 5",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - TOR 3, CGY 2",CGY,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - TOR 4, CGY 3",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - CGY 2, MTL 4",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - CGY 2, MTL 0",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-01 - CGY 4, WPG 3",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-02 - CGY 2, WPG 3",CGY,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-04 - CGY 1, WPG 4",CGY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-06 - EDM 4, CGY 6",CGY,1.0,50.5,56.0,38.3,42.2,2.7,2.6,9.9,10.9,1.3,1.4,7.3,7.4,21.8,24.2,0.6,0.3,12.0,11.5,16.4,17.2,0.8,0.7,8.1,8.8,0.986,28.7,26.3,28.1,29.3,2.349,3.002
"2021-02-09 - WPG 2, CGY 3",CGY,2.0,51.2,55.8,39.0,42.5,2.7,2.9,9.9,10.9,1.4,1.5,7.2,7.5,22.3,23.9,0.5,0.4,12.2,11.4,15.9,17.1,0.8,0.8,7.8,9.2,0.9951,28.5,25.8,28.0,29.5,2.344,3.0520000000000005
"2021-02-11 - CGY 3, VAN 1",CGY,1.0,49.8,55.1,38.0,41.7,2.9,2.9,9.6,11.3,1.5,1.4,7.0,7.6,22.2,23.2,0.6,0.4,12.5,10.7,15.2,16.4,0.8,0.9,7.4,9.2,0.9894,28.0,24.8,27.7,28.9,2.25,2.952
"2021-02-13 - CGY 1, VAN 3",CGY,1.0,50.3,53.1,38.3,40.1,2.8,2.7,10.4,11.1,1.6,1.3,7.9,7.6,21.9,22.6,0.5,0.4,12.2,10.6,15.2,15.3,0.7,0.9,7.5,8.9,0.9898,28.7,25.6,26.4,28.3,2.335,2.682
"2021-02-15 - CGY 4, VAN 3",CGY,1.0,53.6,51.0,40.0,38.3,2.8,2.6,10.3,10.4,1.5,1.1,7.7,6.9,23.1,21.5,0.4,0.4,12.6,10.6,16.6,14.8,0.8,1.0,8.3,8.1,0.9918,30.1,26.9,25.2,26.9,2.53,2.53
"2021-02-17 - VAN 5, CGY 1",CGY,1.0,55.9,50.9,41.9,37.7,2.7,2.7,10.3,10.2,1.6,1.2,7.7,6.7,24.8,21.5,0.5,0.5,13.7,10.5,17.0,14.7,0.5,0.9,8.2,8.2,1.005,31.3,27.3,24.9,27.0,2.585,2.492
"2021-02-19 - EDM 2, CGY 1",CGY,1.0,56.7,52.4,43.6,39.6,2.8,2.6,11.1,11.0,1.5,1.3,8.5,7.5,24.6,22.7,0.5,0.4,13.6,10.8,16.9,14.8,0.7,0.8,8.4,8.4,1.0036,32.5,28.0,25.8,28.1,2.703,2.604
"2021-02-20 - CGY 1, EDM 7",CGY,0.0,53.5,53.1,41.8,39.6,3.0,2.5,9.9,11.5,1.7,1.4,7.9,7.7,24.2,23.2,0.5,0.3,13.1,10.2,15.3,14.0,0.7,0.7,8.5,7.8,0.9943,31.3,25.2,25.5,26.9,2.54,2.444
"2021-02-22 - CGY 3, TOR 0",CGY,1.0,53.0,54.3,41.5,40.6,3.4,2.3,10.2,11.9,2.0,1.3,7.8,8.6,23.8,23.4,0.3,0.3,12.7,10.7,14.8,14.4,1.0,0.7,8.6,8.2,0.9674,30.9,25.0,26.3,28.5,2.665,2.619
"2021-02-24 - CGY 1, TOR 2",CGY,1.0,55.5,52.7,43.4,40.8,3.1,2.4,10.5,11.4,1.8,1.3,8.1,8.4,25.4,22.6,0.3,0.3,13.0,10.9,15.5,14.5,0.9,0.8,8.6,8.2,0.9808,31.5,26.0,25.9,28.7,2.838,2.663
"2021-02-25 - CGY 1, OTT 6",CGY,0.0,57.9,51.9,45.1,40.2,2.9,2.4,11.7,11.0,1.7,1.2,9.2,8.1,26.1,21.9,0.3,0.3,13.1,10.7,16.0,15.1,0.8,0.9,8.6,8.6,0.9908,32.7,27.7,26.1,28.5,2.963,2.664
"2021-02-27 - CGY 6, OTT 3",CGY,1.0,57.0,53.3,44.8,40.7,3.1,1.9,11.8,10.9,1.8,1.0,9.2,7.9,25.4,23.6,0.4,0.2,12.7,11.7,15.9,15.0,0.7,0.7,8.6,8.1,0.9659,32.6,27.7,25.9,28.7,2.866,2.602
