Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-22 - NSH 0, DAL 7",DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - NSH 2, DAL 3",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - DET 1, DAL 2",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - DET 3, DAL 7",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - DAL 1, CAR 4",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-31 - DAL 3, CAR 4",DAL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-02 - DAL 6, CBJ 3",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-04 - DAL 3, CBJ 4",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-07 - CHI 2, DAL 1",DAL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-09 - CHI 2, DAL 1",DAL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-11 - CAR 5, DAL 3",DAL,1.0,51.7,53.3,38.8,39.2,2.4,3.4,9.8,9.8,1.5,2.0,6.6,6.8,24.5,23.2,0.8,0.4,12.2,11.3,11.9,16.1,0.1,0.9,7.2,7.4,1.0336,27.6,21.7,25.9,26.8,2.346,2.567
"2021-02-13 - CAR 4, DAL 3",DAL,1.0,51.1,54.6,38.4,40.2,2.9,3.0,10.0,10.2,1.8,1.6,6.8,7.0,23.8,23.1,0.8,0.5,11.9,11.4,11.7,17.2,0.3,0.8,6.8,7.9,1.0011,27.4,21.7,27.4,27.7,2.331,2.5740000000000003
"2021-02-22 - DAL 1, FLA 3",DAL,8.0,51.4,54.8,39.2,41.0,3.0,3.0,10.1,10.1,2.0,1.7,7.0,7.0,23.3,23.7,0.8,0.4,11.9,12.0,12.1,16.5,0.2,0.8,6.6,7.8,0.9953,27.8,22.2,26.6,28.4,2.339,2.582
"2021-02-24 - DAL 3, FLA 0",DAL,1.0,55.3,53.7,42.6,40.7,3.2,2.9,10.2,9.9,1.9,1.8,7.3,7.0,25.4,23.5,1.0,0.3,13.7,12.4,13.9,16.2,0.2,0.7,7.6,7.9,0.9892,30.9,24.1,26.1,28.7,2.585,2.563
"2021-02-25 - DAL 2, FLA 3",DAL,0.0,56.8,53.6,44.7,40.5,2.9,2.5,11.0,9.8,1.7,1.8,7.9,6.9,26.1,23.6,0.9,0.3,14.5,12.2,14.2,16.0,0.2,0.4,8.0,7.8,0.9896,32.9,25.2,25.8,28.4,2.723,2.611
"2021-02-27 - DAL 0, TB 5",DAL,1.0,56.5,55.4,45.1,42.4,2.8,2.6,10.5,10.3,1.5,1.9,7.6,7.7,26.8,24.5,0.9,0.3,15.3,13.4,14.4,16.4,0.3,0.4,8.5,8.5,0.9925,33.8,24.9,26.7,31.2,2.6870000000000003,2.6870000000000003
"2021-03-02 - TB 2, DAL 0",DAL,2.0,53.6,54.5,42.7,41.2,3.0,2.3,9.2,9.1,1.7,1.7,6.8,7.3,25.2,24.4,0.8,0.3,14.3,12.8,14.8,16.9,0.4,0.3,8.7,8.6,0.9659,31.9,24.0,26.0,30.3,2.498,2.527
"2021-03-04 - CBJ 3, DAL 2",DAL,1.0,54.1,55.1,43.2,41.0,2.9,1.7,9.5,9.6,1.7,1.3,6.8,7.5,24.5,24.2,0.7,0.2,13.2,11.4,15.3,17.3,0.4,0.2,8.9,9.3,0.9488,31.2,24.8,26.9,29.8,2.621,2.471
"2021-03-06 - CBJ 0, DAL 5",DAL,1.0,54.7,54.4,43.1,40.2,2.8,1.6,9.9,9.5,1.8,1.1,7.1,7.5,24.5,24.3,0.5,0.2,12.9,11.6,15.7,16.4,0.4,0.3,8.8,8.6,0.9488,30.9,25.6,25.9,29.4,2.6870000000000003,2.366
"2021-03-07 - NSH 4, DAL 3",DAL,0.0,53.3,53.8,41.6,39.5,2.6,2.0,9.1,9.6,1.6,1.3,6.5,7.4,24.0,24.1,0.5,0.2,12.5,11.2,15.7,15.9,0.4,0.5,8.5,8.4,0.9705,29.5,24.8,25.5,28.9,2.528,2.343
"2021-03-09 - CHI 1, DAL 6",DAL,1.0,52.2,53.1,40.5,39.0,2.7,2.2,8.5,10.4,1.6,1.4,6.3,8.0,24.1,23.6,0.6,0.3,12.5,10.9,15.8,15.3,0.4,0.5,7.9,8.4,0.9674,28.6,24.3,25.7,29.2,2.425,2.386
"2021-03-11 - CHI 4, DAL 2",DAL,1.0,50.1,52.8,38.6,39.2,2.3,2.5,7.4,10.3,1.3,1.5,5.5,7.9,23.2,23.6,0.7,0.3,12.0,11.1,15.4,14.8,0.2,0.7,8.0,8.1,0.9866,27.6,22.8,25.1,29.2,2.189,2.406
"2021-03-13 - DAL 3, CBJ 4",DAL,1.0,48.9,52.0,37.5,38.4,2.4,2.4,7.0,10.2,1.2,1.6,5.3,8.1,22.8,22.6,0.8,0.3,11.7,10.6,15.1,14.8,0.3,0.5,8.2,8.3,0.9722000000000002,27.1,22.1,25.0,29.3,2.247,2.379
"2021-03-14 - DAL 2, CBJ 1",DAL,0.0,45.9,55.2,35.0,40.1,2.5,2.6,7.1,10.9,1.4,1.6,5.2,8.2,20.6,23.9,0.7,0.3,9.9,10.6,14.1,15.9,0.4,0.7,7.6,8.6,0.9686,24.5,21.2,26.8,29.8,2.078,2.488
"2021-03-16 - TB 4, DAL 3",DAL,1.0,44.6,57.5,33.9,40.9,2.6,2.4,6.9,11.1,1.4,1.5,5.1,8.2,19.8,25.0,0.8,0.2,9.3,11.6,13.5,17.1,0.4,0.7,7.1,8.9,0.9566,23.2,20.4,28.2,30.7,1.993,2.472
