Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-13 - VAN 5, EDM 3",EDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-14 - VAN 2, EDM 5",EDM,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - MTL 5, EDM 1",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - MTL 3, EDM 1",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-20 - EDM 3, TOR 1",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-22 - EDM 2, TOR 4",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - EDM 4, WPG 3",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - EDM 4, WPG 6",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - TOR 4, EDM 3",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - TOR 3, EDM 4",EDM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-31 - OTT 5, EDM 8",EDM,0.0,57.4,55.3,42.4,42.3,3.6,3.0,11.4,14.6,1.6,1.8,8.8,10.9,26.3,23.8,0.8,0.2,13.6,12.3,16.5,13.5,1.0,0.9,8.7,6.7,0.9849,32.7,27.9,28.1,31.7,2.903,3.222
"2021-02-02 - OTT 2, EDM 4",EDM,1.0,57.7,55.3,43.0,42.5,3.6,3.5,11.8,13.7,1.5,1.9,8.9,10.3,26.8,23.3,1.0,0.2,13.8,11.6,16.2,14.7,0.9,1.3,8.6,7.7,1.0021,33.0,28.0,28.4,31.7,2.97,3.222
"2021-02-06 - EDM 4, CGY 6",EDM,3.0,55.1,53.9,41.3,40.1,3.6,3.4,11.1,12.5,1.6,1.6,8.5,9.3,26.1,23.0,1.0,0.3,13.0,11.0,14.5,14.3,0.8,1.4,8.2,7.1,1.0042,31.5,25.6,26.8,29.6,2.7990000000000004,2.828
"2021-02-08 - EDM 3, OTT 1",EDM,1.0,54.1,53.7,40.5,40.2,3.7,3.7,10.9,12.2,1.5,1.8,8.3,8.9,25.3,23.4,0.9,0.3,12.0,11.3,14.3,13.8,1.1,1.5,8.6,7.1,1.0063,30.7,25.2,26.0,29.3,2.774,2.785
"2021-02-09 - EDM 3, OTT 2",EDM,0.0,53.7,55.4,39.7,41.7,3.5,3.9,10.7,12.7,1.6,1.8,8.1,9.3,24.3,23.4,0.7,0.3,11.6,11.3,14.9,14.9,1.0,1.6,8.5,7.5,1.0163,30.1,25.6,27.6,30.2,2.689,2.9840000000000004
"2021-02-11 - EDM 3, MTL 0",EDM,1.0,55.3,55.6,41.9,41.9,3.6,3.9,11.0,12.3,1.8,1.7,8.2,9.2,24.3,23.3,0.6,0.3,12.1,11.3,15.4,15.0,1.0,1.6,9.0,7.4,1.016,31.7,26.4,27.3,30.1,2.806,2.935
"2021-02-15 - WPG 6, EDM 5",EDM,3.0,56.6,55.9,43.5,42.5,3.2,4.0,11.5,12.4,1.8,1.6,8.3,9.0,24.7,23.2,0.6,0.4,13.2,11.2,15.9,15.4,0.7,1.7,8.8,7.7,1.0329000000000002,32.6,27.4,27.8,30.1,2.867,2.954
"2021-02-17 - WPG 2, EDM 3",EDM,1.0,54.6,56.4,41.4,43.5,3.5,4.1,10.8,11.7,1.9,1.7,7.7,8.2,24.1,23.4,0.5,0.5,13.2,11.9,15.8,16.3,1.0,1.6,8.5,8.3,1.0164000000000002,31.2,26.6,28.0,30.8,2.739,2.869
"2021-02-19 - EDM 2, CGY 1",EDM,1.0,56.2,57.6,41.8,43.9,3.1,4.0,10.1,11.6,1.5,1.9,6.9,8.4,24.7,23.9,0.5,0.5,13.4,11.8,17.3,17.5,1.1,1.3,9.4,9.0,1.0235,31.4,27.4,29.1,31.2,2.617,2.9880000000000004
"2021-02-20 - CGY 1, EDM 7",EDM,0.0,56.8,56.1,41.8,43.0,2.8,3.9,9.7,10.8,1.3,1.9,6.6,8.0,25.9,23.2,0.5,0.5,13.8,11.5,16.8,17.7,1.0,1.2,8.9,9.6,1.0312,30.8,26.5,28.5,30.8,2.495,2.822
"2021-02-23 - EDM 4, VAN 3",EDM,2.0,59.4,54.7,44.0,42.1,2.6,4.2,11.3,10.2,1.2,1.9,7.6,7.6,26.0,22.3,0.4,0.5,14.0,10.8,17.3,17.9,1.0,1.5,9.2,10.0,1.0555,32.3,28.6,28.1,30.1,2.817,2.843
"2021-02-25 - EDM 3, VAN 0",EDM,1.0,59.4,55.2,43.6,42.3,2.4,3.8,10.7,10.8,1.2,2.1,7.3,8.3,25.7,23.2,0.3,0.4,13.8,11.5,17.8,16.6,0.9,1.0,9.1,8.5,1.0476,31.8,28.5,27.4,29.9,2.728,2.887
"2021-02-27 - TOR 4, EDM 0",EDM,1.0,60.5,55.7,44.6,43.2,2.2,3.7,11.2,11.6,1.0,2.1,7.7,8.9,25.7,22.8,0.3,0.3,14.2,11.6,19.1,17.1,0.9,1.0,9.2,8.8,1.0484,32.5,30.3,28.7,30.8,2.81,3.189
"2021-03-01 - TOR 3, EDM 0",EDM,1.0,59.8,55.1,44.3,43.2,2.0,3.3,11.2,12.0,0.8,1.9,7.8,8.8,25.4,22.5,0.3,0.3,14.3,12.0,19.2,16.5,0.9,0.8,9.2,8.3,1.0435,32.6,30.4,28.5,30.6,2.805,3.186
"2021-03-03 - TOR 6, EDM 1",EDM,1.0,58.8,54.3,44.3,42.1,2.2,3.0,11.1,11.2,0.8,1.8,7.6,8.3,24.1,22.7,0.4,0.3,13.2,12.1,19.7,16.3,1.0,0.7,9.8,8.3,1.0255,32.1,30.8,27.5,30.2,2.829,2.984
"2021-03-06 - CGY 2, EDM 3",EDM,2.0,57.4,56.4,43.1,42.8,2.6,2.8,11.4,11.3,1.1,1.9,7.9,8.3,23.8,24.6,0.4,0.2,12.4,12.6,19.2,16.9,1.1,0.7,9.9,8.5,1.0016,31.1,30.6,28.2,30.7,2.901,3.002
"2021-03-08 - OTT 2, EDM 3",EDM,1.0,55.9,56.6,42.2,42.4,2.8,2.8,11.2,10.7,1.1,1.9,8.1,8.0,23.3,25.4,0.5,0.1,12.0,13.1,18.1,16.7,1.2,0.8,9.6,8.4,0.9957,30.9,29.3,27.4,30.8,2.864,3.01
"2021-03-10 - OTT 1, EDM 7",EDM,1.0,57.9,56.0,43.5,41.6,2.4,2.6,11.7,10.9,0.9,1.7,8.4,8.2,24.1,25.1,0.6,0.0,11.6,12.6,18.4,16.4,0.9,0.9,9.9,8.2,1.0106,31.3,30.1,27.3,30.0,2.937,3.104
"2021-03-12 - OTT 2, EDM 6",EDM,1.0,55.6,56.1,41.9,42.1,2.3,3.0,11.6,11.9,1.0,1.8,8.5,9.0,23.9,25.0,0.5,0.1,11.4,13.1,16.7,15.4,0.8,1.1,8.8,7.5,1.0212,30.0,28.3,27.3,30.6,2.854,3.131
"2021-03-13 - EDM 1, VAN 2",EDM,0.0,55.7,58.2,41.9,44.0,2.4,3.4,11.9,13.4,1.1,1.9,8.5,9.9,24.0,25.4,0.5,0.2,11.8,13.7,16.5,15.4,0.8,1.3,8.6,7.0,1.0262,30.4,28.4,28.8,31.8,2.865,3.308
"2021-03-15 - EDM 3, CGY 4",EDM,1.0,54.4,60.8,40.1,45.2,2.5,2.8,10.9,13.3,1.1,1.5,7.5,9.8,24.1,26.8,0.5,0.3,11.0,14.6,16.3,16.8,0.9,1.0,8.7,7.4,0.995,28.8,27.2,30.1,32.9,2.635,3.336
"2021-03-17 - EDM 7, CGY 3",EDM,1.0,52.8,60.0,39.4,45.2,2.6,2.7,11.1,12.9,1.3,1.3,7.7,9.5,23.5,26.8,0.4,0.3,10.7,14.7,15.6,16.7,0.9,1.1,8.4,7.9,0.9852,28.2,26.7,29.6,33.1,2.638,3.254
"2021-03-18 - WPG 1, EDM 2",EDM,0.0,51.3,58.5,38.7,44.8,2.9,3.1,10.7,12.3,1.4,1.4,7.5,9.2,22.1,26.3,0.4,0.3,10.2,14.5,15.7,16.6,1.1,1.4,9.0,8.1,0.9906,28.3,26.4,28.9,32.7,2.58,3.048
"2021-03-20 - WPG 2, EDM 4",EDM,1.0,52.3,56.8,39.0,43.2,2.6,3.3,10.8,11.2,1.5,1.4,7.3,8.9,22.9,25.6,0.3,0.3,10.7,13.3,15.3,17.1,0.8,1.6,8.2,8.7,1.0099,27.9,26.1,28.3,31.8,2.561,2.9210000000000003
"2021-03-27 - EDM 3, TOR 4",EDM,6.0,53.1,58.2,39.5,43.6,2.5,3.7,10.8,11.9,1.6,1.4,7.5,9.5,24.2,24.9,0.2,0.3,11.6,12.7,15.0,18.1,0.7,1.9,8.0,9.2,1.0273,28.7,25.8,30.0,32.4,2.553,3.137
"2021-03-29 - EDM 3, TOR 2",EDM,1.0,53.5,55.9,39.4,42.1,2.3,3.9,10.3,11.3,1.4,1.4,7.2,9.0,24.4,23.9,0.3,0.4,11.6,12.5,15.4,17.6,0.6,2.0,8.0,9.3,1.0444,28.6,25.7,28.9,31.7,2.446,3.064
"2021-03-30 - EDM 0, MTL 4",EDM,0.0,53.6,54.2,39.5,41.0,2.3,3.9,10.4,11.4,1.5,1.5,7.0,9.1,23.9,22.6,0.2,0.4,11.4,12.1,16.2,17.0,0.6,1.9,8.2,8.6,1.0475,28.1,26.6,28.4,30.7,2.357,2.95
"2021-04-02 - CGY 2, EDM 3",EDM,2.0,53.0,50.8,39.2,38.5,2.5,3.6,10.4,10.4,1.9,1.4,7.3,8.3,23.2,21.7,0.1,0.4,11.6,11.3,16.2,15.3,0.5,1.7,8.2,8.0,1.034,28.5,26.6,25.7,28.7,2.353,2.651
"2021-04-05 - EDM 2, MTL 3",EDM,2.0,53.8,50.3,40.3,37.5,2.6,3.2,10.5,9.2,1.9,1.2,7.5,7.1,23.5,22.0,0.2,0.3,11.7,11.4,16.5,15.6,0.5,1.6,8.1,8.0,1.0234,28.9,27.0,24.8,27.6,2.386,2.497
