Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-14 - NYI 4, NYR 0",NYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - NYI 0, NYR 5",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-19 - NJ 4, NYR 3",NYR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-22 - NYR 3, PIT 4",NYR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - NYR 2, PIT 3",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - NYR 2, BUF 3",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - NYR 3, BUF 2",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - PIT 5, NYR 4",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-01 - PIT 1, NYR 3",NYR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-04 - WSH 2, NYR 4",NYR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-08 - NYI 2, NYR 0",NYR,3.0,50.3,56.1,38.1,42.9,2.7,2.9,10.0,11.7,1.7,1.8,7.3,8.8,23.0,27.2,0.1,0.5,12.1,15.5,13.8,14.3,0.9,0.6,7.1,7.3,0.9936,27.8,23.8,26.0,32.4,2.492,2.874
"2021-02-10 - BOS 3, NYR 2",NYR,1.0,50.6,56.0,37.6,43.4,2.5,2.9,9.4,12.0,1.7,1.8,7.1,9.1,24.1,26.4,0.1,0.5,12.5,15.6,13.6,14.9,0.7,0.6,6.7,7.6,0.999,27.5,23.0,26.9,33.0,2.379,2.9530000000000003
