Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-15 - TOR 3, OTT 5",OTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - TOR 3, OTT 2",OTT,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-19 - WPG 4, OTT 3",OTT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-21 - WPG 4, OTT 1",OTT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-23 - OTT 3, WPG 6",OTT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-25 - OTT 1, VAN 7",OTT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-27 - OTT 1, VAN 5",OTT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - OTT 1, VAN 4",OTT,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-31 - OTT 5, EDM 8",OTT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-02 - OTT 2, EDM 4",OTT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-04 - OTT 3, MTL 2",OTT,1.0,58.6,55.3,43.1,42.7,4.8,2.4,11.4,12.8,2.7,1.5,8.3,9.5,24.0,25.5,0.6,0.4,12.1,13.6,19.1,13.0,1.5,0.5,8.9,6.7,0.9289,30.9,30.5,25.8,31.3,3.057,2.906
"2021-02-06 - MTL 2, OTT 1",OTT,1.0,60.6,55.2,45.7,42.4,4.7,2.2,12.0,12.1,2.7,1.2,8.8,8.5,25.1,25.1,0.6,0.4,12.5,13.5,19.5,13.2,1.4,0.6,9.4,6.9,0.9295000000000002,32.4,31.5,25.3,31.1,3.139,2.693
"2021-02-08 - EDM 3, OTT 1",OTT,1.0,58.2,58.4,44.5,44.4,4.6,2.1,11.1,11.7,2.7,1.2,8.4,8.4,24.7,28.0,0.7,0.3,12.4,15.1,18.6,13.9,1.2,0.6,9.1,7.1,0.9231,31.6,29.7,25.6,32.7,3.089,2.724
"2021-02-09 - EDM 3, OTT 2",OTT,0.0,59.3,57.1,46.2,42.2,4.5,1.9,11.6,11.1,2.5,1.1,8.7,7.8,24.9,27.4,0.7,0.2,12.5,14.8,19.1,13.3,1.2,0.6,9.3,6.6,0.9251,32.3,30.7,24.4,31.4,3.287,2.5580000000000003
"2021-02-11 - OTT 1, WPG 5",OTT,1.0,56.9,59.5,44.9,44.3,4.4,2.0,11.3,11.2,2.2,1.2,8.7,7.8,23.3,28.2,0.7,0.2,12.0,15.3,17.9,14.5,1.2,0.6,8.8,7.0,0.9265,31.6,29.2,25.7,32.7,3.138,2.664
"2021-02-13 - OTT 2, WPG 1",OTT,1.0,55.5,62.2,43.9,47.1,4.3,1.8,10.9,12.1,2.2,1.1,8.3,8.5,22.4,28.3,0.7,0.2,11.2,15.4,18.1,16.4,1.1,0.5,9.0,8.4,0.9112,30.4,29.0,28.5,34.8,2.956,2.911
"2021-02-15 - OTT 6, TOR 5",OTT,1.0,56.5,60.8,43.7,46.0,3.7,1.9,11.6,11.9,1.8,1.2,8.6,8.2,22.9,28.2,0.6,0.2,11.2,15.6,17.9,15.8,1.0,0.5,8.4,7.8,0.9321000000000002,30.0,29.5,27.7,34.1,2.9530000000000003,2.817
"2021-02-17 - OTT 1, TOR 2",OTT,1.0,56.3,60.7,43.8,45.3,3.7,2.4,11.6,11.2,1.7,1.5,8.4,7.6,22.6,27.1,0.6,0.3,11.2,14.1,17.8,17.4,1.1,0.6,8.9,8.9,0.9503,30.3,29.4,28.6,32.9,2.903,2.709
"2021-02-18 - OTT 3, TOR 7",OTT,0.0,55.0,59.4,43.1,44.5,3.5,2.4,11.6,11.4,1.4,1.5,8.4,7.7,21.6,25.9,0.6,0.3,11.2,13.2,17.9,17.3,1.2,0.6,9.5,8.9,0.96,30.6,29.5,28.7,32.0,2.794,2.657
"2021-02-21 - MTL 2, OTT 3",OTT,2.0,54.0,59.8,42.5,44.9,3.4,2.2,11.8,10.7,1.5,1.4,8.7,7.1,21.5,25.6,0.6,0.3,11.9,13.2,17.1,18.7,1.0,0.5,8.8,9.4,0.9581,30.6,28.9,29.4,31.9,2.773,2.58
"2021-02-23 - MTL 4, OTT 5",OTT,1.0,54.6,60.2,43.6,46.2,3.2,2.3,11.3,10.9,1.4,1.5,8.3,7.6,22.1,24.5,0.5,0.3,12.5,13.5,18.3,20.5,1.0,0.5,9.5,10.2,0.9675,31.3,29.6,31.4,33.3,2.78,2.7
"2021-02-25 - CGY 1, OTT 6",OTT,1.0,54.0,62.8,42.9,48.6,3.4,2.4,10.5,11.4,1.3,1.7,8.0,8.3,23.3,26.9,0.6,0.4,13.2,14.7,17.4,20.8,1.2,0.3,9.0,10.7,0.9582,31.1,27.9,32.2,35.0,2.683,2.897
"2021-02-27 - CGY 6, OTT 3",OTT,1.0,55.1,61.5,43.1,47.9,3.3,2.9,10.4,11.6,1.2,1.9,7.7,8.3,24.4,25.6,0.5,0.5,13.6,13.8,17.4,20.5,1.3,0.4,8.9,10.9,0.9776,30.9,27.8,32.1,34.6,2.605,2.814
"2021-03-01 - CGY 1, OTT 5",OTT,1.0,55.5,62.0,42.8,49.0,3.6,3.1,9.9,11.8,1.3,1.8,7.3,8.5,25.0,25.8,0.6,0.6,14.0,13.6,17.1,20.5,1.5,0.6,9.2,11.1,0.9756,31.2,27.0,32.3,35.2,2.489,2.888
"2021-03-02 - OTT 1, MTL 3",OTT,0.0,56.7,62.0,42.7,48.9,3.4,3.4,9.9,11.7,1.4,1.7,7.3,8.3,26.4,26.3,0.5,0.6,14.7,13.5,17.2,20.1,1.5,0.9,9.4,11.1,0.9948,31.8,27.1,31.8,34.6,2.5170000000000003,2.926
"2021-03-04 - OTT 3, CGY 7",OTT,1.0,58.2,59.5,43.1,46.8,3.2,3.4,9.5,10.1,1.2,1.6,7.4,7.2,27.6,26.4,0.5,0.6,15.2,14.0,17.6,18.7,1.5,1.0,9.4,10.0,1.0062,32.5,27.1,28.8,33.1,2.5490000000000004,2.636
"2021-03-07 - OTT 4, CGY 3",OTT,2.0,55.6,59.9,42.0,47.2,3.8,3.5,8.7,9.7,1.4,1.5,7.0,7.2,26.3,26.3,0.5,0.6,14.8,13.3,17.2,19.4,1.9,1.2,10.0,10.8,0.9877,32.3,25.9,29.1,33.4,2.412,2.647
"2021-03-08 - OTT 2, EDM 3",OTT,0.0,56.4,57.8,41.6,45.7,3.6,3.2,8.5,9.7,1.3,1.3,7.2,7.2,27.2,25.3,0.5,0.6,14.5,13.3,17.2,18.0,1.8,1.1,9.5,9.5,0.9863,31.9,25.7,27.7,32.5,2.409,2.5460000000000003
"2021-03-10 - OTT 1, EDM 7",OTT,1.0,59.2,58.7,43.2,45.9,3.7,3.3,8.9,9.5,1.3,1.2,7.4,6.9,29.0,25.9,0.5,0.7,15.1,13.1,17.8,18.4,1.9,1.2,9.6,9.9,0.9889,32.8,26.7,27.9,32.5,2.6100000000000003,2.579
"2021-03-12 - OTT 2, EDM 6",OTT,1.0,60.0,56.3,43.9,43.3,3.7,3.1,9.7,9.3,1.3,1.3,8.1,6.8,29.9,25.3,0.5,0.5,15.6,12.7,16.7,17.0,1.9,1.1,8.9,9.1,0.9885,33.3,26.4,26.3,31.0,2.649,2.473
"2021-03-14 - TOR 3, OTT 4",OTT,1.0,60.6,55.6,45.0,42.0,4.1,3.0,11.8,9.5,1.5,1.2,9.6,6.5,28.9,25.7,0.6,0.5,15.1,12.6,15.9,15.4,2.0,1.1,8.3,8.0,0.9789,33.8,27.7,24.9,29.6,2.875,2.343
"2021-03-15 - VAN 3, OTT 2",OTT,0.0,61.1,54.3,45.2,41.2,4.0,3.0,12.8,10.3,1.8,1.3,10.1,7.0,27.5,24.0,0.4,0.4,14.3,11.8,16.6,14.7,1.8,1.1,8.5,7.0,0.9844,33.8,29.4,25.0,28.8,3.035,2.398
"2021-03-17 - VAN 3, OTT 2",OTT,1.0,60.3,56.5,44.8,43.2,4.2,2.6,13.5,11.2,2.1,1.2,10.6,7.8,25.7,24.5,0.4,0.3,13.5,12.4,16.7,15.6,1.7,1.0,8.4,7.3,0.962,33.6,30.2,26.8,30.3,3.099,2.582
"2021-03-22 - CGY 1, OTT 2",OTT,4.0,58.7,58.3,44.1,44.0,3.8,2.5,13.0,10.9,2.0,1.3,10.4,7.2,25.3,26.0,0.3,0.2,13.3,12.8,16.6,16.5,1.5,0.9,7.8,7.8,0.9684,32.7,29.6,27.4,30.1,2.9690000000000003,2.559
"2021-03-24 - CGY 1, OTT 3",OTT,1.0,60.5,55.5,46.0,41.5,3.8,2.2,13.2,10.6,1.9,1.3,10.3,7.2,26.7,24.7,0.3,0.2,13.9,12.0,16.9,15.9,1.6,0.7,8.1,7.5,0.964,33.5,30.1,26.5,28.8,3.0,2.385
"2021-03-25 - TOR 3, OTT 2",OTT,0.0,60.9,56.2,46.5,42.2,3.6,2.4,12.8,10.9,1.8,1.5,9.8,7.5,27.6,25.2,0.3,0.2,14.4,12.1,16.8,16.1,1.5,0.6,7.7,7.7,0.9756,33.1,29.6,27.0,29.2,2.936,2.554
"2021-04-01 - MTL 4, OTT 1",OTT,6.0,64.0,55.8,48.7,42.0,3.2,2.3,14.4,11.7,1.7,1.6,10.9,8.1,28.0,24.5,0.3,0.2,14.6,12.3,17.7,15.4,1.2,0.4,7.5,6.9,0.9895,34.3,32.1,27.1,29.1,3.2,2.565
