Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-14 - SJ 4, ARI 3",SJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - SJ 3, ARI 5",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - SJ 4, STL 5",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-20 - SJ 2, STL 1",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-22 - SJ 1, MIN 4",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - SJ 5, MIN 3",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - SJ 3, COL 7",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - SJ 0, COL 3",SJ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-05 - SJ 5, ANA 4",SJ,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-06 - SJ 1, ANA 2",SJ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-09 - SJ 4, LA 3",SJ,2.0,60.3,55.2,46.9,42.0,3.6,2.5,12.4,10.0,2.1,1.7,8.0,8.0,27.5,25.6,0.5,0.3,13.9,13.6,17.2,15.5,0.9,0.5,9.4,7.7,0.9704,32.7,29.6,25.5,30.6,3.039,2.561
"2021-02-11 - SJ 2, LA 6",SJ,1.0,57.2,55.8,45.3,42.3,3.6,2.5,11.0,10.1,2.1,1.6,6.9,8.1,26.6,25.2,0.4,0.3,14.0,13.8,16.4,16.2,1.0,0.6,9.3,7.8,0.9663,31.7,27.4,26.3,31.1,2.822,2.548
"2021-02-13 - VGK 3, SJ 1",SJ,1.0,56.6,55.7,45.2,42.8,3.7,2.4,11.2,9.7,2.3,1.5,7.1,7.9,25.6,25.5,0.4,0.3,13.8,13.7,16.2,15.9,0.9,0.6,9.4,7.7,0.9638,32.2,27.4,25.6,30.8,2.737,2.577
"2021-02-15 - ANA 2, SJ 3",SJ,1.0,56.7,56.3,44.8,42.7,3.5,2.1,12.0,10.4,2.2,1.3,7.5,8.2,25.3,25.1,0.4,0.3,13.5,13.2,15.6,16.0,0.8,0.5,8.5,7.8,0.9561,31.5,27.6,26.4,30.7,2.776,2.645
