Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-13 - STL 4, COL 1",STL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-15 - STL 0, COL 8",STL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - SJ 4, STL 5",STL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-20 - SJ 2, STL 1",STL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-23 - LA 2, STL 4",STL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-24 - LA 6, STL 3",STL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-26 - STL 5, VGK 4",STL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - STL 6, ANA 1",STL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-31 - STL 4, ANA 1",STL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-02 - ARI 3, STL 4",STL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-04 - ARI 4, STL 3",STL,1.0,56.2,47.2,42.8,35.2,3.1,3.5,9.1,7.5,1.2,1.4,6.8,5.5,28.0,20.2,0.2,0.5,15.2,10.7,15.3,16.4,1.6,1.6,8.9,10.0,1.0281,31.8,24.4,23.9,27.7,2.683,2.289
"2021-02-06 - ARI 3, STL 1",STL,1.0,55.8,50.0,43.5,36.7,3.4,3.4,9.9,7.2,1.5,1.2,7.7,5.3,26.9,22.1,0.2,0.7,14.8,11.5,15.6,17.4,1.6,1.5,8.7,10.4,1.0129,32.1,25.5,24.6,28.8,2.905,2.342
"2021-02-08 - ARI 4, STL 3",STL,1.0,54.6,51.0,41.9,37.9,2.9,3.5,9.2,7.3,1.6,1.3,7.1,5.3,26.4,22.7,0.1,0.7,13.8,11.8,15.7,17.6,1.1,1.5,8.6,10.4,1.0222,30.2,24.9,24.9,29.2,2.851,2.518
"2021-02-12 - STL 4, ARI 1",STL,3.0,57.6,52.9,42.4,39.1,2.8,3.3,10.3,7.9,1.7,1.2,7.6,5.8,26.9,24.1,0.1,0.7,13.3,13.0,16.2,17.2,0.9,1.4,8.6,9.6,1.0178,30.2,26.5,25.1,30.2,3.0290000000000004,2.655
