Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-13 - CHI 1, TB 5",TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-15 - CHI 2, TB 5",TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-21 - TB 3, CBJ 2",TB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-23 - TB 2, CBJ 5",TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - TB 0, CAR 1",TB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - NSH 3, TB 4",TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-01 - NSH 2, TB 5",TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-03 - DET 1, TB 5",TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-05 - DET 1, TB 3",TB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-08 - TB 4, NSH 1",TB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-02-09 - TB 6, NSH 1",TB,0.0,48.6,54.2,36.9,43.5,1.9,3.6,9.0,11.6,1.0,1.8,7.4,10.0,19.9,22.9,0.2,1.0,10.4,12.3,15.8,15.9,0.6,0.7,8.3,8.9,1.0419,27.3,24.8,27.5,32.6,2.213,2.943
"2021-02-11 - TB 2, FLA 5",TB,1.0,50.6,54.9,38.6,43.8,1.9,3.7,9.6,11.6,1.0,2.0,8.0,10.0,21.3,23.9,0.1,0.9,10.9,12.3,16.0,15.4,0.7,0.7,8.0,8.4,1.0481,28.3,25.6,27.0,32.3,2.272,2.998
"2021-02-13 - TB 6, FLA 1",TB,1.0,50.3,53.6,38.0,42.0,2.2,3.4,9.2,10.6,0.9,1.9,7.4,9.2,21.7,24.6,0.3,0.7,10.7,12.5,15.7,14.1,0.8,0.7,7.9,7.3,1.0323,27.5,24.9,24.7,30.7,2.3560000000000003,2.82
