Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-01-13 - VAN 5, EDM 3",VAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-14 - VAN 2, EDM 5",VAN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-16 - VAN 0, CGY 3",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-18 - VAN 2, CGY 5",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-20 - MTL 5, VAN 6",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-21 - MTL 7, VAN 3",VAN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-23 - MTL 5, VAN 2",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-25 - OTT 1, VAN 7",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-27 - OTT 1, VAN 5",VAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-28 - OTT 1, VAN 4",VAN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-01-30 - VAN 4, WPG 1",VAN,1.0,62.9,56.2,49.0,42.7,3.6,3.5,13.5,10.6,2.5,1.9,10.7,7.9,27.1,24.0,0.3,0.2,15.3,12.1,18.4,17.6,0.6,1.4,9.4,8.0,1.0222,37.1,31.9,28.2,29.9,3.65,2.864
"2021-02-01 - VAN 2, MTL 6",VAN,1.0,62.7,55.8,49.0,42.8,3.4,3.4,12.4,10.5,2.4,2.0,9.7,7.9,26.7,24.1,0.2,0.2,15.1,12.6,19.2,17.2,0.6,1.1,9.5,7.5,1.0237,36.4,31.6,27.7,30.3,3.562,2.869
"2021-02-02 - VAN 3, MTL 5",VAN,0.0,62.1,52.5,48.5,41.1,3.5,3.4,12.2,9.8,2.4,1.9,9.4,7.6,26.7,22.5,0.3,0.2,14.8,11.9,18.9,15.9,0.6,1.2,9.4,7.4,1.0215,35.8,31.1,25.7,29.2,3.307,2.657
"2021-02-04 - VAN 3, TOR 7",VAN,1.0,61.6,52.7,47.8,41.6,3.7,3.7,12.5,11.0,2.6,2.1,9.7,8.5,25.9,22.2,0.3,0.2,14.3,12.3,18.7,15.3,0.6,1.3,9.3,6.8,1.0226000000000002,35.6,31.2,26.3,29.9,3.34,2.752
"2021-02-06 - VAN 1, TOR 5",VAN,1.0,61.5,51.1,48.1,40.2,3.9,3.8,12.9,10.7,2.5,2.2,10.3,8.4,25.6,21.4,0.4,0.1,14.2,11.8,18.8,15.0,0.9,1.4,9.5,6.6,1.0276999999999998,36.1,31.7,25.7,29.1,3.254,2.639
"2021-02-08 - VAN 1, TOR 3",VAN,1.0,60.9,50.5,47.7,39.6,3.9,3.4,13.0,10.2,2.6,2.1,10.0,8.0,24.4,21.8,0.4,0.1,13.8,12.6,19.3,14.7,0.8,1.1,9.7,6.3,1.0111,35.6,32.3,24.9,29.1,3.364,2.534
"2021-02-11 - CGY 3, VAN 1",VAN,2.0,57.8,52.8,45.6,41.2,3.5,3.2,12.9,10.2,2.4,1.9,9.6,8.2,22.9,23.3,0.3,0.2,12.7,13.3,17.9,15.7,0.7,1.0,9.1,7.0,0.9974,33.3,30.8,25.9,30.6,3.303,2.64
"2021-02-13 - CGY 1, VAN 3",VAN,1.0,55.3,53.1,44.1,41.7,3.3,3.1,12.6,11.1,2.3,2.0,9.5,9.1,22.2,23.0,0.4,0.2,12.6,13.3,17.1,15.5,0.6,0.8,9.1,7.2,0.996,32.6,29.7,26.6,31.5,3.168,2.777
"2021-02-15 - CGY 4, VAN 3",VAN,1.0,53.0,55.1,42.0,42.9,3.3,2.7,12.3,11.5,2.2,1.6,9.4,9.2,21.0,23.2,0.4,0.1,11.6,13.4,16.6,16.3,0.7,0.8,8.5,7.8,0.9801,30.9,28.9,27.8,32.6,3.068,2.95
"2021-02-17 - VAN 5, CGY 1",VAN,1.0,51.9,54.8,40.4,42.6,3.6,2.5,11.7,10.8,2.3,1.5,8.6,8.4,19.9,24.2,0.5,0.2,10.3,14.0,17.1,15.5,0.8,0.6,8.9,7.6,0.9624,29.3,28.8,26.3,32.4,2.896,2.789
"2021-02-19 - WPG 2, VAN 0",VAN,1.0,52.1,54.4,41.2,42.5,3.6,2.6,12.0,11.1,2.3,1.3,8.7,8.7,20.1,23.8,0.5,0.3,10.0,14.1,17.1,15.2,0.8,0.8,9.1,7.9,0.9615,29.2,29.1,26.3,33.2,2.9,2.686
"2021-02-21 - WPG 4, VAN 3",VAN,1.0,51.5,54.9,41.2,42.4,3.7,2.2,12.9,11.6,2.5,1.0,10.0,8.8,19.7,23.1,0.5,0.3,9.9,12.9,16.0,15.9,0.7,0.8,8.6,8.3,0.9489,29.9,28.9,27.5,32.2,3.051,2.807
"2021-02-23 - EDM 4, VAN 3",VAN,1.0,50.1,56.7,39.7,43.6,3.5,2.3,11.8,12.1,2.2,1.2,9.3,9.0,18.8,23.7,0.5,0.3,9.7,13.2,16.8,16.9,0.8,0.7,8.8,8.3,0.9529,29.0,28.6,29.0,32.7,2.959,2.966
"2021-02-25 - EDM 3, VAN 0",VAN,1.0,50.4,57.6,39.8,43.8,3.4,2.3,12.0,11.5,2.2,1.1,9.4,8.6,19.0,24.3,0.5,0.4,9.5,12.7,16.5,17.5,0.7,0.7,8.5,8.5,0.9557,28.6,28.5,29.0,32.1,2.969,2.95
"2021-03-01 - VAN 4, WPG 0",VAN,3.0,50.6,61.4,39.2,46.1,3.0,2.0,11.9,12.4,2.2,1.0,9.1,9.1,19.4,26.2,0.3,0.4,9.8,13.3,15.9,18.6,0.5,0.5,8.0,8.8,0.95,28.3,27.8,31.0,33.4,3.044,3.128
"2021-03-02 - VAN 2, WPG 5",VAN,0.0,50.5,59.6,38.6,45.2,2.5,2.3,10.9,12.4,1.7,1.1,8.6,9.3,20.7,25.3,0.3,0.5,10.1,12.4,15.1,17.4,0.5,0.6,7.7,8.4,0.9837,27.9,26.0,29.8,32.5,2.908,3.149
"2021-03-04 - TOR 1, VAN 3",VAN,1.0,52.9,59.9,40.3,45.4,2.7,2.4,10.9,12.4,1.8,1.1,9.1,9.1,21.6,25.6,0.3,0.4,10.6,12.4,16.7,17.2,0.5,0.8,8.5,8.4,0.9896,29.9,27.6,29.6,32.6,2.92,3.084
"2021-03-06 - TOR 2, VAN 4",VAN,1.0,55.1,59.5,41.5,44.7,2.5,2.6,11.2,11.4,1.7,1.1,9.3,8.2,22.0,26.7,0.2,0.5,10.6,13.2,17.9,17.0,0.5,0.9,8.7,8.1,1.0058,30.5,29.1,28.4,32.0,3.006,2.914
"2021-03-08 - MTL 1, VAN 2",VAN,1.0,58.2,57.3,43.6,43.0,2.6,2.7,11.0,11.1,1.7,1.3,9.1,8.1,23.8,26.1,0.2,0.5,11.6,13.1,19.1,16.2,0.6,0.9,9.8,7.2,1.0123000000000002,32.5,30.1,27.3,30.5,3.02,2.649
"2021-03-10 - MTL 5, VAN 1",VAN,1.0,59.5,56.3,44.3,42.3,2.3,2.5,11.0,11.4,1.5,1.1,9.3,8.3,24.1,25.0,0.2,0.4,12.0,12.6,20.0,16.3,0.5,1.0,9.8,7.3,1.0181,32.8,31.0,27.7,30.1,3.067,2.682
"2021-03-13 - EDM 1, VAN 2",VAN,2.0,60.4,55.6,44.6,41.4,2.7,2.1,11.0,10.6,1.6,0.9,9.3,7.3,23.9,25.6,0.3,0.4,12.3,13.1,21.2,15.7,0.7,0.8,10.5,7.0,0.9988,33.7,32.2,26.3,29.2,3.153,2.574
"2021-03-15 - VAN 3, OTT 2",VAN,1.0,62.9,55.2,45.2,40.9,2.6,2.3,10.6,10.4,1.4,1.0,8.5,7.0,26.0,26.0,0.4,0.4,13.2,13.2,22.4,15.3,0.7,0.9,11.1,7.1,1.0096,34.1,33.0,25.7,29.1,3.113,2.4370000000000003
