Team,Name,Abbrv,Long
Boston Bruins,Bruins,BOS,BOS
Buffalo Sabres,Sabres,BUF,BUF
Carolina Hurricanes,Hurricanes,CAR,CAR
Columbus Blue Jackets,Blue Jackets,CBJ,CBJ
Detroit Red Wings,Red Wings,DET,DET
Florida Panthers,Panthers,FLA,FLA
Montreal Canadiens,Canadiens,MTL,MTL
New Jersey Devils,Devils,NJ,NJD
New York Islanders,Islanders,NYI,NYI
New York Rangers,Rangers,NYR,NYR
Ottawa Senators,Senators,OTT,OTT
Philadelphia Flyers,Flyers,PHI,PHI
Pittsburgh Penguins,Penguins,PIT,PIT
Tampa Bay Lightning,Lightning,TB,TBL
Toronto Maple Leafs,Maple Leafs,TOR,TOR
Washington Capitals,Capitals,WSH,WSH
Anaheim Ducks,Ducks,ANA,ANA
Arizona Coyotes,Coyotes,ARI,ARI
Calgary Flames,Flames,CGY,CGY
Chicago Blackhawks,Blackhawks,CHI,CHI
Colorado Avalanche,Avalanche,COL,COL
Dallas Stars,Stars,DAL,DAL
Edmonton Oilers,Oilers,EDM,EDM
Los Angeles Kings,Kings,LA,LAK
Minnesota Wild,Wild,MIN,MIN
Nashville Predators,Predators,NSH,NSH
Seattle Kraken,Kraken,SEA,SEA
San Jose Sharks,Sharks,SJ,SJS
St Louis Blues,Blues,STL,STL
Vancouver Canucks,Canucks,VAN,VAN
Vegas Golden Knights,Golden Knights,VGK,VGK
Winnipeg Jets,Jets,WPG,WPG
